DEPT,SP,NEUT,GR,CALI,̂,LLD
2946.8,25.60572532,2.7228708,15.56087253,0.30061385,333.67845797,
2947.0,25.78545199,2.72797661,15.65551433,0.29661905,325.03430128,
2947.2,25.95570438,2.72577342,15.75675465,0.28415676,317.14926409,
2947.4,26.10187269,2.72042835,15.86998435,0.26878248,310.9138035,
2947.6,26.24734731,2.71970486,16.00386163,0.2567647,306.38914658,
2947.8,26.42294336,2.72949689,16.20284759,0.25098479,303.20070574,
2948.0,26.59690454,2.74935388,16.51269145,0.25014678,301.25168465,
2948.2,26.66394785,2.7711583,16.91252017,0.25103287,300.62204503,
2948.4,26.53809017,2.78319957,17.30430885,0.25139637,300.91334814,
2948.6,26.25291965,2.77874653,17.58588564,0.25098674,301.18059585,
2948.8,25.92992803,2.76331783,17.73343225,0.25059369,300.84486184,
2949.0,25.63731402,2.7532063,17.80265052,0.25059033,300.42957547,
2949.2,25.3164538,2.76321438,17.86071086,0.25066826,301.11415227,
2949.4,24.88449883,2.79376296,17.92329867,0.2505991,303.46096814,
2949.6,24.38611312,2.8293482,17.94731719,0.25065751,306.86607249,
2949.8,23.97282315,2.8503756,17.87703323,0.25109082,310.17480684,
2950.0,23.71085144,2.84794248,17.69915975,0.25142056,312.65994073,
2950.2,23.46374374,2.82866226,17.46658452,0.25078336,314.2817365,
2950.4,23.04226811,2.80726996,17.26399438,0.2491801,315.41534619,
2950.6,22.47672206,2.79609201,17.13507671,0.24801877,316.52328507,
2950.8,22.0701096,2.7984451,17.03857229,0.24892966,318.23349108,
2951.0,22.12407713,2.80765902,16.90389135,0.2520396,321.25212056,
2951.2,22.61983224,2.81096184,16.75432834,0.25560725,325.9919488,
2951.4,23.21315169,2.79838036,16.75157428,0.25756602,332.10804677,
2951.6,23.5541025,2.77314252,17.07833775,0.25722498,338.53726135,
2951.8,23.58386268,2.75386327,17.74067096,0.2553215,344.0026422,
2952.0,23.51220687,2.76170735,18.49683788,0.25286636,347.59714296,
2952.2,23.54979753,2.80128042,19.01957611,0.25033201,349.18468909,
2952.4,23.71379316,2.85371159,19.14687713,0.2479308,349.43195471,
2952.6,23.87741073,2.8901962,18.98362028,0.2460773,349.37117046,
2952.8,23.94402261,2.89393298,18.75620343,0.24514902,349.71481508,
2953.0,23.92734703,2.87071995,18.59059583,0.24491429,350.51196697,
2953.2,23.88889015,2.83989499,18.43887939,0.24467456,351.58685792,
2953.4,23.85009326,2.8176503,18.21753989,0.24400904,353.1507157,
2953.6,23.78263653,2.80773119,17.98217689,0.24298075,355.77502612,
2953.8,23.65938586,2.80430914,17.92780041,0.24137225,359.578207,
2954.0,23.49101924,2.80136099,18.19321994,0.23810516,363.71102017,
2954.2,23.32300544,2.79976075,18.66419547,0.23197693,366.97923148,
2954.4,23.20062715,2.80575147,19.00304337,0.22317091,368.94348293,
2954.6,23.12991287,2.82249405,18.92026837,0.21370249,370.21845325,
2954.8,23.0596398,2.84197183,18.44921873,0.2061321,371.64786834,
2955.0,22.91092628,2.84803845,17.95100721,0.20166123,373.39674985,
2955.2,22.64299844,2.83045008,17.83194187,0.19956804,374.9904064,
2955.4,22.29471509,2.79635522,18.22959975,0.19827014,375.94818568,
2955.6,21.94650825,2.76582651,18.95032162,0.19673351,376.1814009,
2955.8,21.63924284,2.75533208,19.67552786,0.19488507,375.73850948,
2956.0,21.35075111,2.7646382,20.20745352,0.19297027,374.52926119,
2956.2,21.06049473,2.7788411,20.53755994,0.1910061,372.51446995,
